t,year,rocket_arrivals_tons,elevator_arrivals_tons,isru_production_tons,cumulative_city_tons,D_E_aggressive,D_M,D_total_aggressive,D_E_conservative,D_M_conservative,D_total_conservative
80,2056.6666666666665,18660.267543130016,44749.99999999999,253641.07017252003,24353565.230263148,2596134073.2894692,19482852.18421052,2615616925.4736795,25858228.57041404,2421019.3278792845,28279247.898293324
81,2056.75,18703.164324295885,44750.0,253812.65729718353,24670831.05188463,2635092592.584005,19736664.841507703,2654829257.425513,26085068.861512944,2538109.752297344,28623178.61381029
82,2056.8333333333335,18745.8290095049,44750.0,253983.31603801955,24988310.196932152,2674139854.423775,19990648.157545723,2694130502.581321,26312001.668591145,2655296.8226728016,28967298.49126395
83,2056.9166666666665,18788.261361420093,44750.00000000001,254153.0454456804,25306001.503739253,2713275375.555529,20244801.202991404,2733520176.7585206,26538617.61561182,2772907.1105019404,29311524.726113763
84,2057.0,18830.461168389167,44750.0,254321.84467355665,25623903.8095812,2752498672.2857785,20499123.04766496,2772997795.3334436,26765323.076733638,2890614.5862780446,29655937.66301168
85,2057.0833333333335,19066.98936011863,44750.00000000001,279852.5825541329,25942988.75638179,2792213947.654825,20778975.63021909,2812992923.285044,27023820.853682414,3008418.947273158,30032239.80095557
86,2057.1666666666665,19109.153793064404,44750.0,230851.9900585992,26262284.525347114,2832016925.0443993,21009827.62027769,2853026752.664677,27220947.166159514,3126319.8873500773,30347267.053509593
87,2057.25,19151.082795398623,44750.0,255604.3311815945,26581789.939324107,2871907114.758828,21265431.951459285,2893172546.7102876,27434263.75242822,3256020.9495167076,30690284.701944925
88,2057.3333333333335,19192.77625458122,44749.99999999999,255771.10501832483,26901503.820597015,2911884026.868357,21521203.05647761,2933405229.9248347,27676512.89291397,3362742.7421464315,31039255.635060403
89,2057.4166666666665,19234.234082754363,44750.0,255936.93633101744,27221424.991010785,2951947171.260486,21777139.99280863,2973724311.253295,27904218.565865085,3481265.140116557,31385483.705981642
90,2057.5,19275.456216480477,44750.0,256101.8248659219,27541552.272093188,2992096057.6907654,22033241.81767455,3014129299.50844,28132009.81214122,3599883.9679615702,31731893.78010279
91,2057.5833333333335,19513.54917378639,44750.0,257054.1966951455,27862870.01796212,3032740177.472241,22290296.014369696,3055030473.4866104,28346151.656216897,3730374.689396176,32076526.345613074
92,2057.6666666666665,19554.715647619993,44750.0,282776.7690620907,28184393.59620022,3073469923.5192904,22573072.783431787,3096042996.3027225,28621619.950282797,3837526.823205546,32459146.773488343
93,2057.75,19595.643975022613,44750.0,231824.6694284796,28506121.816075332,3114284800.4873376,22804897.452860266,3137089697.940198,28818429.621827155,3956653.75539854,32775083.377225697
94,2057.8333333333335,19636.334187875793,44750.0,257545.33675150317,28828053.48701471,3155184313.0981193,23062442.789611768,3178246755.887731,29047123.355577853,4075994.1051494866,33123117.460727338
95,2057.9166666666665,19676.786341363575,44750.0,257707.1453654543,29150187.41872153,3196167966.1881557,23320149.934977222,3219488116.1231327,29261089.324906856,4207278.475051739,33468367.799958594
96,2058.0,19717.000513692907,44750.00000000001,257868.00205477164,29472522.421289995,3237235264.756637,23578017.937031996,3260813282.6936693,29504608.593105286,4315081.062547766,33819689.65565305
97,2058.0833333333335,19956.542228091068,44750.0,258826.16891236423,29796055.13243045,3278800810.0910664,23836844.10594436,3302637654.1970105,29734266.04749401,4434931.267949153,34169197.31544316
98,2058.1666666666665,19996.682162745183,44750.0,258986.7286509807,30119788.543244172,3320449846.4895763,24095830.83459534,3344545677.3241715,29963855.55031498,4554996.394343357,34518851.94465834
99,2058.25,20036.58208604943,44750.0,259146.3283441977,30443721.45367442,3362181874.728559,24354977.162939537,3386536851.8914986,30193525.136106756,4675157.054054135,34868682.19016089
100,2058.3333333333335,20076.242167150776,44750.0,259304.9686686031,30767852.664510176,3403996395.9362326,24614282.13160814,3428610678.0678406,30423274.056206502,4795412.88664294,35218686.94284944
101,2058.4166666666665,20115.662597008297,44750.0,259462.65038803316,31092180.977495216,3445892911.63801,24873744.781996172,3470766656.4200063,30653101.566275675,4915763.528975635,35568865.09525131
102,2058.5,20154.843588100714,44750.0,259619.3743524028,31416705.19543572,3487870923.8012595,25133364.156348575,3513004287.957608,30882572.304338083,5036556.312878113,35919128.6172162
103,2058.5833333333335,20395.723227871993,44750.0,260582.89291148796,31742433.81157508,3530349965.6152334,25393947.04926006,3555743912.6644936,31113128.52479296,5157444.229425699,36270572.75421866
104,2058.6666666666665,20434.81309182729,44750.0,260739.25236730912,32068357.877034217,3572910314.3462343,25654686.30162737,3598565000.6478615,31343761.74757083,5278426.903570713,36622188.65114155
105,2058.75,20473.661893865297,44750.0,286829.3646048892,32394476.18650354,3615551468.585474,25941515.66623226,3641492984.251706,31606889.63557882,5399503.957769212,37006393.593348034
106,2058.8333333333335,20512.269932541683,44750.0,235114.3627007387,32720787.53616625,3658272927.545161,26176630.028933,3684449557.574094,31805256.271118186,5520675.012038455,37325931.28315664
107,2058.9166666666665,20550.637526649687,44750.00000000001,261343.3184922563,33047290.7237995,3701074191.100592,26437973.347425256,3727512164.4480176,32035850.903263994,5642292.624814067,37678143.528078064
108,2059.0,20588.765014918976,44749.99999999999,261214.29167401828,33373984.548874095,3743954759.8316236,26699187.639099274,3770653947.4707227,32266166.41571074,5764004.506530688,38030170.92224143
109,2059.0833333333335,20626.652755712166,44749.99999999999,261985.0400964596,33700867.812652655,3786914135.0635047,26961172.679195732,3813875307.7427006,32497328.016576942,5885810.265934186,38383138.28251113
110,2059.1666666666665,20868.898167581447,44749.99999999999,288234.64333255,34028962.30349056,3830377380.7520742,27249407.32252828,3857626788.0746026,32761184.766239602,6007709.509536608,38768894.27577621
111,2059.25,20906.677955610332,44750.0,236389.2320866061,34357245.69326861,3873919208.3997436,27485796.554614887,3901405004.9543586,32960118.391176056,6129701.841674052,39089820.232850105
112,2059.3333333333335,20944.21682406844,44750.0,262776.8672962737,34685716.77738896,3917539116.893806,27748573.42191116,3945287690.315717,33176728.824866846,6263940.362017695,39440669.18688454
113,2059.4166666666665,20981.515211119313,44750.00000000001,262926.06084447727,35014374.353444554,3961236606.032934,28011499.48275564,3989248105.51569,33422897.66981923,6374681.346900267,39797579.0167195
114,2059.5,21018.573573224818,44750.0,263074.2942928992,35343217.22131068,4005011176.565242,28274573.77704854,4033285750.3422904,33654391.407690376,6497310.650896249,40151702.05858663
115,2059.5833333333335,21055.392384837833,44750.0,263221.5695393513,35672244.18323487,4048862330.2257047,28537795.34658789,4077400125.5722923,33885953.626361534,6620032.445498671,40505986.07186021
116,2059.6666666666665,21298.756178666594,44749.99999999999,264195.0247146663,36002487.9641282,4093219680.577331,28801990.371302556,4122021670.9486337,34118617.563415505,6742846.3205701625,40861463.88398567
117,2059.75,21335.45366940931,44750.0,264341.8146776372,36332915.23247525,4137653361.7097025,29066332.185980193,4166719693.895683,34350896.522654876,6866114.967856306,41217011.49051118
118,2059.8333333333335,21371.910804360272,44750.0,264558.21019211813,36663524.78649705,4182162873.6827717,29330890.39617231,4211493764.078944,34568025.384100944,7001720.088891567,41569745.47299251
119,2059.9166666666665,21408.128132211103,44750.0,291021.7710380723,36994315.42715811,4226747717.6977706,29621912.167210385,4256369629.864981,34848729.481283315,7112928.582183739,41961658.063467056
120,2060.0,21444.106218282,44750.0,238316.59938922303,37325285.95824952,4271407396.1317973,29860228.766599607,4301267624.8983965,35048132.57392857,7236472.707456756,42284605.28138533
121,2060.0833333333335,21479.845644214325,44750.0,264919.3825768573,37656435.18647059,4316141412.571763,30125148.149176463,4346266560.72094,35280675.41873879,7360107.814185437,42640783.23292422
122,2060.1666666666665,21515.34700766575,44750.0,265061.38803066296,37987761.921508916,4360949271.847708,30390209.537207127,4391339481.384914,35513282.57474119,7483833.477414177,42997116.05215537
123,2060.25,21759.840154258814,44749.99999999999,266039.3606170352,38320311.12228021,4406265676.8685665,30656248.89782416,4436921925.766391,35746538.30017285,7608018.257685885,43354556.557858735
